val_tag;Feedrate;file;width;height;perimeter;area;centroid_x;centroid_y;svg_viewBox_x;svg_viewBox_y;svg_viewBox_w;svg_viewBox_h;svg_width_attr;svg_height_attr;svg_width_mm;svg_height_mm;mm_per_user_unit;geom_bbox_xmin;geom_bbox_ymin;geom_bbox_xmax;geom_bbox_ymax;geom_width;geom_height;margin_left;margin_right;margin_top;margin_bottom;margin_left_pct_of_max;margin_right_pct_of_max;margin_top_pct_of_max;margin_bottom_pct_of_max;rep
val-1500p000;1500;slice_speed_val-1500p000_rep-4.svg;6,344491018;3,267289352;32,05317456;34,81452906;-0,218363531;-1,630520975;-3,71317;-3,65725;6,98369;3,90295;;;;;;-3,39492447;-3,339245232;2,949539352;-0,071892884;6,344463821;3,267352348;0,31824553;0,320980648;0,318004768;0,317592884;5,01611388;5,05922419;5,012319046;5,005827014;4
val-1500p000;1500;slice_speed_val-1500p000_rep-5.svg;6,237869549;3,334324597;31,94112935;34,95649029;-0,218363531;-1,630520975;-3,69209;-3,71241;6,86654;3,94578;;;;;;-3,378523883;-3,399192475;2,859813917;-0,078831757;6,238337799;3,320360718;0,313566117;0,314636083;0,313217525;0,312201757;5,026436966;5,043588429;5,02084906;5,004566391;5
val-1750p000;1750;slice_speed_val-1750p000_rep-1.svg;5,508498905;3,212433466;28,67514884;29,22383686;-0,149338699;-1,606413098;-3,21964;-3,5597;6,06507;3,76428;;;;;;-2,938821552;-3,283627377;2,569677353;-0,07119391;5,508498905;3,212433466;0,280818448;0,275752647;0,276072623;0,27577391;5,097912378;5,005949027;5,011757797;5,006335027;1
val-1750p000;1750;slice_speed_val-1750p000_rep-2.svg;5,343488815;3,158727035;28,2772923;28,41899602;-0,149338699;-1,606413098;-3,11594;-3,49426;5,88582;3,6823;;;;;;-2,843115663;-3,226077498;2,499971214;-0,080369813;5,343086878;3,145707685;0,272824337;0,269908786;0,268182502;0,268409813;5,106118298;5,051551506;5,019242773;5,023497078;2
val-1750p000;1750;slice_speed_val-1750p000_rep-3.svg;5,564227938;3,248179781;28,91219804;29,80800362;-0,149338699;-1,606413098;-3,27627;-3,60281;6,12833;3,80676;;;;;;-2,993161868;-3,322967798;2,570915365;-0,074667973;5,564077233;3,248299825;0,283108132;0,281144635;0,279842202;0,278617973;5,088141673;5,052852845;5,029444959;5,007442587;3
val-1750p000;1750;slice_speed_val-1750p000_rep-4.svg;5,537914635;3,256774059;28,91027318;29,83780415;-0,149338699;-1,606413098;-3,27735;-3,60018;6,09666;3,80525;;;;;;-2,99711867;-3,321793689;2,540943242;-0,072104206;5,538061912;3,249689483;0,28023133;0,278366758;0,278386311;0,277174206;5,060097453;5,026429149;5,026782208;5,004895403;4
val-1750p000;1750;slice_speed_val-1750p000_rep-5.svg;5,419942881;3,184965406;28,55108372;29,0877697;-0,149338699;-1,606413098;-3,16238;-3,5325;5,96539;3,72762;;;;;;-2,888443467;-3,261306322;2,531718425;-0,076054994;5,420161892;3,185251328;0,273936533;0,271291575;0,271193678;0,271174994;5,054028622;5,005230109;5,003423954;5,003079228;5
val-2000p000;2000;slice_speed_val-2000p000_rep-1.svg;4,938052206;3,081557118;26,1851233;24,96542083;-0,146385688;-1,593235483;-2,83927;-3,40432;5,43725;3,57734;;;;;;-2,589528225;-3,155904643;2,348523981;-0,074347524;4,938052206;3,081557118;0,249741775;0,249456019;0,248415357;0,247367524;5,057495631;5,051708829;5,030634486;5,009414927;1
val-2000p000;2000;slice_speed_val-2000p000_rep-2.svg;4,987980171;3,17817454;26,58135269;25,84832573;-0,146385688;-1,593235483;-2,86365;-3,4958;5,49211;3,67081;;;;;;-2,613281002;-3,246045137;2,374984399;-0,074814955;4,988265402;3,171230183;0,250368998;0,253475601;0,249754863;0,249824955;5,019159516;5,08143774;5,006847921;5,008253061;2
val-2000p000;2000;slice_speed_val-2000p000_rep-3.svg;4,970227352;3,167299242;26,34010134;25,37867551;-0,146385688;-1,593235483;-2,86694;-3,4851;5,47602;3,66351;;;;;;-2,613941996;-3,235902633;2,356031273;-0,070636825;4,969973269;3,165265808;0,252998004;0,253048727;0,249197367;0,249046825;5,090530481;5,091551061;5,014058499;5,011029464;3
val-2000p000;2000;slice_speed_val-2000p000_rep-4.svg;4,989165619;3,141642092;26,54174912;25,67045712;-0,146385688;-1,593235483;-2,87512;-3,47472;5,49192;3,64175;;;;;;-2,622237931;-3,223032837;2,366870378;-0,082690332;4,989108309;3,140342505;0,252882069;0,249929622;0,251687163;0,249720332;5,068682681;5,009504839;5,044732399;5,005309889;4
val-2000p000;2000;slice_speed_val-2000p000_rep-5.svg;4,952780122;3,166214457;26,29257225;25,31092887;-0,146385688;-1,593235483;-2,84224;-3,49067;5,44918;3,66449;;;;;;-2,593963897;-3,241029689;2,359196673;-0,074295626;4,95316057;3,166734063;0,248276103;0,247743327;0,249640311;0,248115626;5,012478382;5,001722098;5,040020551;5,009238495;5
val-2250p000;2250;slice_speed_val-2250p000_rep-1.svg;5,009552672;3,159729669;26,5685879;25,73431761;-0,110053185;-1,584865998;-2,84617;-3,49256;5,51191;3,66201;;;;;;-2,595277489;-3,240885687;2,414275183;-0,081156018;5,009552672;3,159729669;0,250892511;0,251464817;0,251674313;0,250606018;5,008281724;5,019706011;5,023887956;5,002562793;1
val-2250p000;2250;slice_speed_val-2250p000_rep-2.svg;5,000104528;3,181829042;26,80909191;26,20019656;-0,110053185;-1,584865998;-2,87075;-3,49739;5,50356;3,68322;;;;;;-2,62030152;-3,246891324;2,379880082;-0,06450275;5,000181601;3,182388574;0,25044848;0,252929918;0,250498676;0,25033275;5,008787688;5,058414638;5,009791571;5,006473163;2
val-2250p000;2250;slice_speed_val-2250p000_rep-3.svg;5,056984999;3,186939944;26,94260405;26,37515591;-0,110053185;-1,584865998;-2,89912;-3,50924;5,56666;3,68731;;;;;;-2,643645817;-3,254926266;2,413517559;-0,075040359;5,057163375;3,179885907;0,255474183;0,254022441;0,254313734;0,253110359;5,051728892;5,023022242;5,028782245;5,004986786;3
val-2250p000;2250;slice_speed_val-2250p000_rep-4.svg;5,024075826;3,163379713;26,72123052;26,00261493;-0,110053185;-1,584865998;-2,89797;-3,49385;5,532;3,6687;;;;;;-2,642863668;-3,240556565;2,381102752;-0,076685517;5,02396642;3,163871048;0,255106332;0,252927248;0,253293435;0,251535517;5,077787373;5,034413586;5,041702381;5,006711755;4
val-2250p000;2250;slice_speed_val-2250p000_rep-5.svg;5,070167178;3,206283011;26,92679331;26,3724694;-0,110053185;-1,584865998;-2,8837;-3,53903;5,5842;3,71595;;;;;;-2,626003082;-3,28482354;2,444386624;-0,076913675;5,070389707;3,207909865;0,257696918;0,256113376;0,25420646;0,253833675;5,082388784;5,051157612;5,013548755;5,006196561;5
val-2500p000;2500;slice_speed_val-2500p000_rep-1.svg;4,712496841;3,154901797;25,21385395;23,53207998;-0,196096187;-1,551974339;-2,76691;-3,45771;5,18839;3,62951;;;;;;-2,527982778;-3,219250232;2,184514064;-0,064348435;4,712496841;3,154901797;0,238927222;0,236965936;0,238459768;0,236148435;5,070077082;5,028458255;5,060157614;5,011110733;1
val-2500p000;2500;slice_speed_val-2500p000_rep-2.svg;4,704073738;3,108380888;24,97787371;22,99839367;-0,196096187;-1,551974339;-2,71189;-3,41498;5,17905;3,58289;;;;;;-2,473519086;-3,176097491;2,230588916;-0,067745297;4,704108002;3,108352194;0,238370914;0,236571084;0,238882509;0,235655297;5,067292538;5,029031729;5,078168047;5,00956391;2
val-2500p000;2500;slice_speed_val-2500p000_rep-3.svg;4,743278719;3,142319827;25,37608489;23,71849549;-0,196096187;-1,551974339;-2,73166;-3,43801;5,22353;3,61086;;;;;;-2,494150502;-3,199164905;2,252408382;-0,065203339;4,746558885;3,133961566;0,237509498;0,239461618;0,238845095;0,238053339;5,003824945;5,044952004;5,031963174;5,015282531;3
val-2500p000;2500;slice_speed_val-2500p000_rep-4.svg;4,748393674;3,073457338;25,30241856;23,5320058;-0,196096187;-1,551974339;-2,74977;-3,38569;5,23095;3,54931;;;;;;-2,508390613;-3,147650383;2,241234633;-0,074645619;4,749625246;3,073004763;0,241379387;0,239945367;0,238039617;0,238265619;5,08207226;5,051879982;5,011755774;5,016514079;4
val-2500p000;2500;slice_speed_val-2500p000_rep-5.svg;4,669676519;3,111225384;24,93031036;22,94479835;-0,196096187;-1,551974339;-2,69407;-3,41381;5,13819;3,57963;;;;;;-2,460072042;-3,179534588;2,210407253;-0,068020376;4,670479295;3,111514212;0,233997958;0,233712747;0,234275412;0,233840376;5,010148697;5,004042032;5,016089306;5,006774697;5
